AB_cum;ucb_cum_10;ts_cum_10
479;323;485
841;792;860
1168;1268;1064
1575;1660;1470
2015;2119;1940
2378;2683;2292
2739;3186;2574
3069;3707;2888
3493;4208;3242
3875;4722;3531
4173;5172;3868
4508;5706;4109
4918;6309;4538
5176;6734;4886
5676;7240;5180
6156;7652;5495
6570;8183;5738
6904;8639;6084
7143;9179;6589
7470;9822;7071
7759;10336;7341
8102;10894;7688
8390;11445;8051
8650;12065;8346
9111;12502;8637
9339;12928;9032
9778;13640;9399
10081;14061;9733
10563;14462;10106
10932;14882;10520
11218;15414;10920
11626;16055;11201
11919;16481;11494
12233;17106;11729
12515;17517;12195
12847;17921;12548
13163;18391;12861
13460;18793;13215
13850;19367;13595
14198;19875;13962
14613;20365;14268
14959;20836;14722
15385;21580;15093
15860;21976;15569
16285;22508;15979
16748;22996;16331
17090;23519;16610
17337;24161;16884
17629;24587;17198
17984;25065;17583
18295;25796;17869
18640;26339;18200
19013;26914;18414
19337;27465;18879
19766;28020;19209
20070;28507;19685
20466;29025;19837
20863;29601;20268
21235;30029;20616
21564;30539;20964
22019;31071;21227
22401;31698;21583
22866;32069;21943
23187;32609;22292
23564;33220;22693
23983;33872;23071
24273;34298;23436
24649;34735;23873
24906;35363;24325
25228;35789;24612
25612;36244;24789
25964;36640;25161
26464;37194;25577
26729;37758;25949
27059;38422;26214
27298;38903;26517
27790;39369;26782
28226;39828;27131
28543;40436;27487
28835;40737;27734
29126;41287;28187
29557;41949;28511
29852;42398;28969
30318;42799;29350
30685;43271;29805
31024;43742;30194
31372;44321;30569
31650;44786;31002
32156;45404;31266
32530;45911;31716
32787;46348;32038
33004;46793;32449
33385;47394;32813
33784;47850;33182
34138;48288;33376
34478;48865;33753
34885;49511;34090
35202;49873;34537
35669;50450;34873
36111;51030;35239
36459;51527;35503
36931;51971;35928
37277;52492;36167
37619;53023;36494
37946;53721;36756
38389;54061;37193
38786;54379;37479
39152;54848;37918
39380;55397;38314
39765;55982;38695
40141;56561;39116
40671;57181;39448
40976;57649;39791
41306;58175;40088
41555;58677;40397
41874;59234;40650
42142;59558;41018
42430;60017;41427
42680;60620;41805
43116;60821;42187
43402;61256;42661
43796;62053;43062
44214;62486;43385
44563;63002;43674
44962;63585;44011
45298;64230;44364
45605;64789;44852
45916;65295;45236
46241;65831;45799
46701;66395;46237
46966;66818;46581
47416;67443;47028
47797;68024;47442
48181;68534;47830
48522;69055;48169
48917;69613;48444
49365;70060;48714
49817;70593;49137
50129;71002;49548
50467;71480;49756
50889;72082;50154
51265;72500;50433
51688;72954;50836
51945;73547;51099
52264;74020;51600
52599;74557;51940
53012;75052;52271
53413;75477;52661
53676;75702;53029
54066;76172;53333
54415;76648;53745
54686;77192;54101
55006;77800;54417
55406;78225;54703
55654;78723;54935
55887;79197;55343
56139;79698;55911
56454;80382;56309
56784;80614;56649
57016;81014;56993
57302;81492;57374
57683;81939;57601
57986;82496;57920
58345;83068;58334
58663;83430;58758
59106;83876;59104
59499;84431;59522
59912;84761;59879
60251;85184;60198
60554;85648;60550
60838;86096;60984
61185;86488;61416
61567;86892;61695
61914;87404;62194
62350;87937;62728
62734;88387;63155
63080;88762;63601
63402;89318;64121
63771;89704;64462
64056;90194;64801
64342;90692;65171
64596;91374;65511
64953;91850;65928
65294;92233;66245
65707;92748;66572
66027;93282;67057
66284;93875;67549
66678;94313;67975
67133;94810;68389
67438;95459;68740
67868;96010;69089
68213;96531;69545
68617;97110;69846
69056;97546;70233
69407;98096;70640
69880;98575;71047
70410;99247;71276
70756;99738;71590
71117;100188;71873
71509;100658;72117
71829;101036;72417
72192;101442;72847
72471;101824;73227
72872;102286;73548
73225;102669;73813
73529;103134;74084
73922;103647;74394
74433;104279;74706
74875;104852;75052
75199;105298;75302
75547;105832;75451
75941;106189;75775
76280;106621;76084
76580;107198;76333
76900;107760;76591
77345;108271;76837
77753;108972;77229
78224;109468;77545
78641;109953;77836
79106;110430;78147
79491;110997;78449
79868;111560;78802
80260;112072;79108
80563;112381;79550
80770;112732;79994
81042;113221;80322
81438;113788;80490
81894;114232;80888
82277;114853;81126
82556;115370;81455
82866;115942;81671
83257;116528;81915
